u,v,key,osmid,oneway,name,highway,length,geometry,ref,lanes,bridge,tunnel,maxspeed,access
1574729702,5350286714,0,143914408,False,양덕남로,tertiary,55.846000000000004,"LINESTRING (129.3944233 36.0783693, 129.3942153 36.078324, 129.3938969 36.0782396, 129.3938318 36.0782169)",,,,,,
1574729705,1574729706,0,143914408,False,양덕남로,tertiary,69.148,"LINESTRING (129.3961795 36.0784892, 129.3969486 36.0785075)",,,,,,
1574729705,4634925852,0,143914408,False,양덕남로,tertiary,56.797,"LINESTRING (129.3961795 36.0784892, 129.3955485 36.0784606)",,,,,,
1574729705,1574729693,0,468979123,False,장량로140번길,residential,134.136,"LINESTRING (129.3961795 36.0784892, 129.3961719 36.0772829)",,,,,,
1574729705,5313891353,0,468979123,False,장량로140번길,residential,84.432,"LINESTRING (129.3961795 36.0784892, 129.3961574 36.0792483)",,,,,,
1574729706,1574729707,0,143914408,False,양덕남로,tertiary,68.091,"LINESTRING (129.3969486 36.0785075, 129.3977061 36.0785203)",,,,,,
1574729706,1574729705,0,143914408,False,양덕남로,tertiary,69.148,"LINESTRING (129.3969486 36.0785075, 129.3961795 36.0784892)",,,,,,
1574729706,1574729677,0,145024314,False,천마로,secondary,176.007,"LINESTRING (129.3969486 36.0785075, 129.3969845 36.0769249)",,,,,,
1574729706,1584894930,0,145024314,False,천마로,secondary,118.226,"LINESTRING (129.3969486 36.0785075, 129.3969283 36.0795706)",,,,,,
1574729707,1584894915,0,143914408,False,양덕남로,tertiary,160.415,"LINESTRING (129.3977061 36.0785203, 129.3994907 36.0785505)",,,,,,
1574729707,1574729706,0,143914408,False,양덕남로,tertiary,68.091,"LINESTRING (129.3977061 36.0785203, 129.3969486 36.0785075)",,,,,,
1574729707,1584894917,0,145024006,False,장량로158번길,residential,59.29,"LINESTRING (129.3977061 36.0785203, 129.3977019 36.0790535)",,,,,,
1574729707,1574729677,0,"[143914394, 145024006]",False,장량로158번길,residential,233.88,"LINESTRING (129.3977061 36.0785203, 129.3977167 36.0770157, 129.3969845 36.0769249)",,,,,,
1574729709,1584894916,0,143914408,False,양덕남로,tertiary,67.181,"LINESTRING (129.4020227 36.0786602, 129.4012791 36.0785982)",,,,,,
