location,latitude,longitude
한동대학교,36.103197,129.391725
포항 시청,36.018834,129.343255
포항 고속버스터미널,36.027932,129.367652
포항 환호공원,36.067494,129.392324
포항 시외버스터미널,36.01356,129.349753
영일대 해수욕장,36.06243,129.382004
호미곶 상생의 손,36.078344,129.568968
포항공과대학교,36.013608,129.322905
