location,latitude,longitude
흥해읍1,36.11160131,129.3408196
흥해읍2,36.10932613,129.3522284
한동대학교,36.10369143,129.3885639
포항송곡초등학교,36.09097385,129.3837167
대구지방법원 포항지원등기소,36.09151333,129.3881472
장량휴먼시아5단지아파트,36.08916659,129.3942833
포항대학교,36.0861091,129.4105369
튼튼영어 북부지사,36.08107614,129.4067201
동명비취타운,36.06903159,129.3998035
포항동부초등학교,36.06352907,129.3806682
메르세데스벤츠 포항서비스센터,36.05262966,129.3729727
CGV 북포항,36.04059205,129.3681395
포항역,36.03657666,129.3591528
포항공과대학교,36.012523,129.3238844
현대그린아파트,36.03168417,129.3206659
